census_block_geoid,count
420030103001.0,57
420030103002.0,127
420030103003.0,171
420030103004.0,181
420030201001.0,431
420030201002.0,254
420030201003.0,716
420030201004.0,121
420030201005.0,328
420030201006.0,218
420030203001.0,472
420030305001.0,127
420030305002.0,242
420030402001.0,129
420030402002.0,113
420030404001.0,100
420030404002.0,24
420030405001.0,276
420030405002.0,219
420030406001.0,186
420030409001.0,220
420030409002.0,103
420030409003.0,70
420030501001.0,65
420030501002.0,136
420030501003.0,161
420030506001.0,61
420030506002.0,48
420030506003.0,118
420030509001.0,118
420030510001.0,82
420030510002.0,49
420030511001.0,69
420030603001.0,123
420030603002.0,200
420030605001.0,72
420030605002.0,66
420030703001.0,65
420030703002.0,149
420030703003.0,54
420030705001.0,64
420030705002.0,46
420030705003.0,168
420030706001.0,42
420030706002.0,88
420030708001.0,224
420030708002.0,36
420030709001.0,104
420030709002.0,68
420030709003.0,51
420030709004.0,24
420030802001.0,89
420030802002.0,115
420030804001.0,93
420030804002.0,91
420030806001.0,70
420030806002.0,51
420030807001.0,45
420030807002.0,157
420030809001.0,129
420030809002.0,140
420030901001.0,107
420030901002.0,103
420030902001.0,133
420030902002.0,61
420030902003.0,78
420030903001.0,136
420030903002.0,108
420031005001.0,40
420031005002.0,71
420031011001.0,111
420031011002.0,74
420031011003.0,60
420031014001.0,83
420031014002.0,29
420031014003.0,53
420031014004.0,25
420031016001.0,92
420031017001.0,46
420031017002.0,114
420031018001.0,37
420031018002.0,79
420031102001.0,34
420031102002.0,53
420031102003.0,40
420031102004.0,100
420031106001.0,38
420031106002.0,38
420031106003.0,24
420031113001.0,54
420031113002.0,95
420031113003.0,125
420031113004.0,102
420031114001.0,112
420031114002.0,70
420031115001.0,183
420031115002.0,162
420031115003.0,223
420031115004.0,170
420031203001.0,192
420031203002.0,98
420031204001.0,89
420031204002.0,43
420031207001.0,70
420031207002.0,131
420031208001.0,84
420031208002.0,233
420031301001.0,203
420031301002.0,67
420031301003.0,119
420031302001.0,134
420031302002.0,125
420031303001.0,151
420031303002.0,119
420031303003.0,173
420031304001.0,160
420031304002.0,150
420031304003.0,55
420031306001.0,143
420031306002.0,106
420031306003.0,334
420031401001.0,37
420031401002.0,40
420031401003.0,7
420031401004.0,52
420031402001.0,40
420031402002.0,72
420031403001.0,34
420031403002.0,31
420031403003.0,59
420031403004.0,25
420031404001.0,59
420031404002.0,20
420031404003.0,45
420031405001.0,127
420031405002.0,36
420031405003.0,65
420031406001.0,96
420031406002.0,68
420031406003.0,82
420031408001.0,95
420031408002.0,155
420031408003.0,60
420031410001.0,59
420031411001.0,32
420031413001.0,133
420031413002.0,58
420031413003.0,73
420031414001.0,44
420031414002.0,28
420031414003.0,42
420031414004.0,99
420031414005.0,69
420031516001.0,76
420031516002.0,52
420031516003.0,46
420031517001.0,118
420031517002.0,37
420031517003.0,58
420031517004.0,13
420031517005.0,56
420031517006.0,56
420031608001.0,47
420031608002.0,68
420031608003.0,65
420031608004.0,102
420031609001.0,204
420031609002.0,411
420031702001.0,399
420031702002.0,380
420031702003.0,1034
420031702004.0,616
420031706001.0,58
420031706002.0,93
420031706003.0,105
420031803001.0,219
420031803002.0,347
420031803003.0,126
420031807001.0,79
420031807002.0,85
420031807003.0,107
420031903001.0,83
420031903002.0,103
420031911001.0,61
420031911002.0,115
420031914001.0,190
420031914002.0,150
420031915001.0,136
420031915002.0,147
420031916001.0,111
420031916002.0,81
420031916003.0,103
420031916004.0,82
420031916005.0,107
420031917001.0,124
420031917002.0,31
420031917003.0,86
420031918001.0,98
420031918002.0,52
420031918003.0,68
420031918004.0,108
420031918005.0,29
420031918006.0,50
420031918007.0,59
420031919001.0,41
420031919002.0,90
420031919003.0,76
420031920001.0,37
420031920002.0,93
420031920003.0,83
420031920004.0,54
420031920005.0,49
420032022001.0,200
420032022002.0,145
420032022003.0,41
420032023001.0,50
420032023002.0,112
420032023003.0,108
420032023004.0,68
420032107001.0,420
420032107002.0,119
420032206001.0,315
420032206002.0,291
420032406001.0,137
420032406002.0,191
420032412001.0,69
420032412002.0,70
420032503001.0,157
420032507001.0,205
420032509001.0,123
420032509002.0,112
420032602001.0,69
420032602002.0,83
420032602003.0,50
420032607001.0,140
420032607002.0,67
420032609001.0,340
420032612001.0,51
420032614001.0,83
420032614002.0,115
420032614003.0,114
420032614004.0,95
420032615001.0,91
420032615002.0,174
420032620001.0,110
420032620002.0,145
420032620003.0,79
420032701001.0,139
420032701002.0,117
420032703001.0,151
420032703002.0,81
420032704001.0,100
420032708001.0,95
420032708002.0,128
420032708003.0,44
420032715001.0,173
420032715002.0,261
420032715003.0,239
420032814001.0,81
420032814002.0,255
420032815001.0,41
420032815002.0,66
420032901001.0,181
420032901002.0,117
420032901003.0,147
420032902001.0,66
420032902002.0,39
420032902003.0,69
420032902004.0,112
420032902005.0,70
420032904001.0,123
420032904002.0,210
420032904003.0,82
420032904004.0,49
420032904005.0,92
420033001001.0,37
420033001002.0,127
420033001003.0,192
420033001004.0,109
420033001005.0,145
420033001006.0,125
420033102001.0,23
420033102002.0,16
420033102003.0,27
420033102004.0,49
420033102005.0,35
420033103001.0,26
420033204001.0,55
420033204002.0,46
420033204003.0,50
420033206001.0,95
420033206002.0,101
420033207001.0,109
420033207002.0,85
420034011003.0,1
420034012002.0,1
420034035001.0,1
420034035005.0,1
420034040001.0,2
420034060001.0,1
420034070012.0,1
420034110001.0,1
420034131002.0,1
420034133002.0,1
420034211002.0,23
420034230003.0,1
420034240002.0,2
420034250004.0,1
420034267001.0,1
420034268001.0,1
420034270002.0,1
420034281002.0,4
420034282002.0,2
420034291001.0,1
420034296001.0,2
420034302003.0,1
420034311001.0,1
420034311002.0,1
420034315004.0,1
420034350001.0,3
420034350002.0,1
420034511011.0,1
420034511053.0,1
420034520001.0,3
420034530041.0,1
420034592011.0,1
420034592012.0,1
420034600022.0,1
420034626001.0,1
420034626003.0,3
420034626004.0,1
420034639001.0,1
420034643003.0,1
420034643004.0,10
420034644002.0,1
420034644003.0,3
420034644004.0,1
420034656001.0,2
420034658001.0,5
420034687001.0,1
420034688001.0,1
420034689003.0,1
420034690003.0,10
420034705021.0,2
420034706001.0,1
420034721001.0,4
420034722001.0,1
420034723002.0,2
420034732002.0,1
420034733005.0,1
420034734013.0,1
420034751014.0,1
420034753013.0,1
420034753014.0,1
420034761003.0,1
420034762003.0,1
420034772001.0,2
420034781001.0,1
420034782002.0,1
420034782003.0,1
420034790001.0,5
420034803001.0,7
420034803002.0,1
420034803003.0,2
420034810001.0,45
420034810002.0,44
420034810003.0,68
420034810004.0,4
420034825001.0,1
420034838001.0,2
420034838002.0,1
420034838003.0,1
420034843001.0,1
420034845004.0,2
420034867002.0,1
420034868001.0,1
420034881002.0,8
420034882001.0,3
420034882002.0,1
420034885001.0,1
420034890013.0,1
420034911011.0,1
420034927002.0,1
420034928001.0,1
420034929001.0,1
420035041002.0,2
420035041004.0,1
420035041005.0,1
420035070001.0,1
420035080002.0,1
420035094002.0,1
420035100001.0,4
420035120001.0,1
420035120002.0,1
420035151002.0,1
420035153001.0,3
420035154013.0,1
420035200022.0,1
420035211001.0,1
420035212002.0,1
420035215002.0,1
420035220002.0,1
420035231002.0,1
420035231003.0,1
420035231004.0,1
420035232004.0,2
420035234001.0,2
420035235021.0,1
420035236002.0,1
420035237023.0,1
420035240003.0,1
420035253001.0,1
420035522001.0,1
420035604001.0,3
420035604002.0,1
420035605001.0,1
420035605002.0,5
420035606001.0,3
420035610001.0,2
420035611001.0,12
420035612001.0,7
420035612002.0,8
420035614002.0,1
420035614003.0,2
420035615003.0,1
420035616001.0,56
420035616002.0,74
420035616003.0,111
420035616004.0,96
420035617001.0,17
420035617002.0,59
420035619001.0,50
420035619002.0,194
420035620001.0,76
420035620002.0,112
420035620003.0,42
420035623001.0,114
420035623002.0,84
420035623003.0,81
420035623004.0,78
420035623005.0,47
420035623006.0,155
420035624001.0,50
420035624002.0,103
420035624003.0,50
420035624004.0,89
420035624005.0,76
420035625001.0,92
420035625002.0,105
420035625003.0,148
420035625004.0,196
420035626001.0,111
420035626002.0,142
420035626003.0,173
420035626004.0,87
420035627001.0,170
420035627002.0,281
420035628001.0,42
420035628002.0,60
420035629001.0,129
420035629002.0,51
420035629003.0,113
420035630001.0,79
420035630002.0,71
420035630003.0,32
420035630004.0,81
420035631001.0,49
420035631002.0,136
420035631003.0,43
420035632001.0,237
420035632002.0,654
420035632003.0,339
420035639001.0,1
420035639002.0,3
420035641002.0,1
420035642002.0,1
420039800001.0,193
420039801001.0,50
420039803001.0,5
420039804001.0,24
420039805001.0,42
420039806001.0,167
420039807001.0,161
420039808001.0,16
420039809001.0,60
420039810001.0,63
420039811001.0,11
420039812001.0,228
420039818001.0,21
420039822001.0,91
